"We <b>share</b> a small apartment.","私たちは小さなアパートを<b>共有</b>している。"
"Please <b>share</b> your thoughts with the team.","考えをチームに<b>共有</b>してください。"
"She <b>shared</b> her notes with classmates.","彼女はノートをクラスメートに<b>共有</b>した。"
"They <b>shared</b> the cost of the trip.","彼らは旅行代を<b>分担</b>した。"

"You should <b>store</b> the files in the cloud.","そのファイルはクラウドに<b>保存</b>したほうがいい。"
"We <b>stored</b> extra food for winter.","冬に備えて食料を<b>蓄え</b>た。"
"This device can <b>store</b> up to 2TB of data.","この装置は最大2TBのデータを<b>保存</b>できる。"
"He <b>stores</b> memories in a journal.","彼は日記に思い出を<b>記録</b>している。"

"Many people <b>tend</b> to check phones at night.","多くの人は夜に携帯を見る<b>傾向</b>がある。"
"She <b>tended</b> the garden every morning.","彼女は毎朝庭を<b>世話</b>した。"
"Prices <b>tend</b> to rise before holidays.","休日前は価格が上がる<b>傾向</b>がある。"
"He <b>tends</b> to be late for meetings.","彼は会議に<b>遅れがち</b>だ。"

"This issue <b>concerns</b> public safety.","この問題は公共の安全に<b>関係</b>する。"
"I'm <b>concerned</b> about the results.","私は結果を<b>心配</b>している。"
"The memo <b>concerns</b> all staff members.","そのメモは全職員に<b>関係</b>がある。"
"The topic <b>concerned</b> budget cuts.","その話題は予算削減に<b>関係</b>していた。"

"Can you <b>describe</b> what happened?","何が起きたか<b>説明</b>してもらえますか。"
"The guide <b>described</b> the museum's history.","ガイドは博物館の歴史を<b>述べ</b>た。"
"Words cannot <b>describe</b> her kindness.","彼女の優しさは言葉では<b>表せ</b>ない。"
"He <b>described</b> the scene in detail.","彼はその場面を詳しく<b>描写</b>した。"

"The job <b>involves</b> traveling abroad.","その仕事は海外出張を<b>伴</b>う。"
"She <b>was involved</b> in the research project.","彼女は研究プロジェクトに<b>関与</b>していた。"
"This game <b>involves</b> strategy and luck.","このゲームは戦略と運を<b>伴</b>う。"
"Don't <b>involve</b> kids in the argument.","子どもをその口論に<b>巻き込</b>まないで。"

"We must <b>reduce</b> plastic waste.","プラスチックごみを<b>減ら</b>さなければならない。"
"The company <b>reduced</b> costs last year.","その会社は昨年コストを<b>削減</b>した。"
"Cutting sugar can <b>reduce</b> health risks.","砂糖を減らすと健康リスクを<b>減ら</b>せる。"
"They <b>reduced</b> the price to attract customers.","顧客を引きつけるため価格を<b>下げ</b>た。"

"We will <b>design</b> a user-friendly interface.","使いやすいインターフェースを<b>設計</b>する。"
"She <b>designed</b> a logo for the club.","彼女はクラブのロゴを<b>デザイン</b>した。"
"The plan was carefully <b>designed</b> to reduce costs.","その計画はコスト削減のため慎重に<b>設計</b>された。"
"Let's <b>design</b> a study to test the idea.","その考えを検証する研究を<b>計画</b>しよう。"

"Don't <b>force</b> him to agree.","彼に同意を<b>強要</b>しないで。"
"Heavy rain <b>forced</b> the game to stop.","大雨で試合は<b>中止を余儀なく</b>された。"
"She <b>forced</b> a smile despite the bad news.","悪い知らせにもかかわらず彼女は<b>作り笑い</b>をした。"
"The door was <b>forced</b> open by the police.","ドアは警察に<b>こじ開け</b>られた。"

"We need to <b>limit</b> screen time for kids.","子どものスクリーン時間を<b>制限</b>する必要がある。"
"The law <b>limits</b> the number of participants.","その法律は参加者数を<b>制限</b>している。"
"He <b>limited</b> his comments to five minutes.","彼は発言を5分に<b>制限</b>した。"
"There is a <b>limit</b> to what we can do.","私たちにできることには<b>限界</b>がある。"

"I can't <b>bear</b> the cold without a coat.","コートなしでは寒さに<b>耐え</b>られない。"
"She <b>bore</b> the heavy box upstairs.","彼女は重い箱を抱えて階上へ<b>運ん</b>だ。"
"He <b>bears</b> responsibility for the decision.","彼はその決定の責任を<b>負って</b>いる。"
"The tree <b>bears</b> fruit in late summer.","その木は夏の終わりに実を<b>つけ</b>る。"

"The change will <b>affect</b> prices nationwide.","その変更は全国の価格に<b>影響</b>する。"
"Noise <b>affects</b> our ability to concentrate.","騒音は集中力に<b>影響</b>を与える。"
"Her speech deeply <b>affected</b> the audience.","彼女のスピーチは聴衆に深い<b>感動</b>を与えた。"
"This medicine may <b>affect</b> your sleep.","この薬は睡眠に<b>影響</b>するかもしれない。"

"We must <b>deal</b> with the problem quickly.","問題に迅速に<b>対処</b>しなければならない。"
"They <b>deal</b> in second-hand books.","彼らは古本を<b>商って</b>いる。"
"She <b>dealt</b> the cards and began the game.","彼女はカードを<b>配って</b>ゲームを始めた。"
"Let's <b>deal</b> the work fairly among us.","仕事を私たちの間で公平に<b>分配</b>しよう。"

"Try to <b>avoid</b> unnecessary risks.","不必要なリスクは<b>避け</b>るようにしなさい。"
"He <b>avoided</b> answering the hard question.","彼は難しい質問への回答を<b>避け</b>た。"
"We found a route to <b>avoid</b> traffic.","渋滞を<b>避け</b>る道を見つけた。"
"She couldn't <b>avoid</b> making a mistake.","彼女はミスを<b>避け</b>られなかった。"

"How does this <b>relate</b> to our goal?","これは私たちの目標にどう<b>関係</b>しますか。"
"The two events <b>relate</b> closely.","その2つの出来事は密接に<b>関連</b>している。"
"He <b>related</b> the story to his childhood.","彼はその話を自分の子ども時代と<b>結びつけ</b>た。"
"The article <b>relates</b> to climate change.","その記事は気候変動に<b>関連</b>している。"

"I finally <b>realized</b> my mistake.","私はようやく自分の間違いに<b>気づい</b>た。"
"She <b>realized</b> her dream of studying abroad.","彼女は留学の夢を<b>実現</b>した。"
"Do you <b>realize</b> how serious it is?","それがどれほど深刻か<b>理解</b>していますか。"
"Profits were <b>realized</b> in the third quarter.","利益は第3四半期に<b>実現</b>した。"

"Teachers <b>encourage</b> students to ask questions.","教師は生徒に質問するよう<b>励ま</b>す。"
"Her success <b>encouraged</b> others to try.","彼女の成功は他の人にも挑戦する気持ちを<b>与え</b>た。"
"We <b>encourage</b> recycling at home.","家庭でのリサイクルを<b>奨励</b>している。"
"The data <b>encourages</b> a positive outlook.","そのデータは前向きな見方を<b>後押し</b>する。"

"Let's <b>compare</b> the two proposals.","2つの提案を<b>比較</b>しよう。"
"She <b>compared</b> him to a famous artist.","彼女は彼を有名な芸術家に<b>たとえ</b>た。"
"Prices <b>compare</b> well with last year.","価格は昨年と<b>比較して</b>遜色ない。"
"He <b>compared</b> results across regions.","彼は地域間で結果を<b>比較</b>した。"

"We need to <b>measure</b> the room precisely.","部屋を正確に<b>測定</b>する必要がある。"
"The device <b>measures</b> temperature and humidity.","その装置は温度と湿度を<b>測る</b>。"
"They <b>measured</b> success by customer satisfaction.","彼らは成功を顧客満足で<b>評価</b>した。"
"Her performance <b>measures</b> up to our standards.","彼女の成績は基準に<b>見合っ</b>ている。"

"Do unicorns <b>exist</b>?","ユニコーンは<b>存在</b>しますか。"
"Opportunities <b>exist</b> even in hard times.","厳しい時期でも機会は<b>存在</b>する。"
"Some species barely <b>exist</b> in the wild.","野生ではほとんど<b>生存</b>していない種もある。"
"The problem <b>exists</b> only under pressure.","問題は圧力下でのみ<b>生じ</b>る。"

"Please <b>mark</b> the correct answer.","正しい答えに<b>印</b>をつけてください。"
"Graffiti <b>marked</b> the old walls.","古い壁には落書きの<b>跡</b>がついていた。"
"The event <b>marked</b> a turning point.","その出来事は転機を<b>示し</b>た。"
"The sign <b>marks</b> the boundary of the park.","その標識は公園の境界を<b>示し</b>ている。"

"I <b>challenge</b> the assumption behind this claim.","私はこの主張の前提に<b>異議を唱え</b>る。"
"She <b>challenged</b> him to a chess match.","彼女は彼にチェスの対戦を<b>挑ん</b>だ。"
"The task really <b>challenged</b> our team.","その課題は私たちのチームを本当に<b>試し</b>た。"
"New evidence <b>challenges</b> the old theory.","新たな証拠は古い理論に<b>異議</b>を投げかける。"

"We <b>depend</b> on data to make decisions.","意思決定にはデータに<b>頼っ</b>ている。"
"It <b>depends</b> on the weather today.","今日は天気<b>次第</b>だ。"
"You can <b>depend</b> on her to deliver.","彼女がやり遂げることは<b>当てに</b>できる。"
"Plants <b>depend</b> on sunlight to grow.","植物は成長に太陽光に<b>依存</b>する。"

"I <b>object</b> to raising fees without notice.","予告なしの値上げに<b>反対</b>します。"
"Several members <b>objected</b> that the rule was unfair.","数名のメンバーはその規則が不公平だと<b>反対</b>した。"
"He <b>objected</b> to the proposal strongly.","彼はその提案に強く<b>反対</b>した。"
"Neighbors <b>object</b> when noise is constant.","騒音が続くと近隣住民は<b>反対</b>する。"

"Workers <b>demand</b> fair wages.","労働者は公正な賃金を<b>要求</b>する。"
"The client <b>demanded</b> a detailed report.","顧客は詳細な報告書を<b>要求</b>した。"
"High-quality parts are in great <b>demand</b>.","高品質の部品には大きな<b>需要</b>がある。"
"He <b>demanded</b> that we start over.","彼は最初からやり直すよう<b>要求</b>した。"

"They <b>founded</b> a non-profit to help kids.","彼らは子どもを支援する非営利団体を<b>設立</b>した。"
"The city was <b>founded</b> in the 18th century.","その都市は18世紀に<b>建て</b>られた。"
"Her theory is <b>founded</b> on solid evidence.","彼女の理論は確かな証拠に<b>基づい</b>ている。"
"They <b>found</b> the institute on mutual trust.","彼らは相互の信頼に研究所を<b>築い</b>た。"

"We <b>completed</b> the report ahead of time.","私たちは予定より早く報告書を<b>完成</b>させた。"
"She <b>completed</b> the marathon despite the heat.","彼女は暑さにもかかわらずマラソンを<b>完走</b>した。"
"Please <b>complete</b> the online form.","オンラインのフォームを<b>記入</b>してください。"
"The puzzle was finally <b>completed</b>.","そのパズルはついに<b>完成</b>した。"

"That was a brilliant <b>idea</b>.","それは素晴らしい<b>考え</b>だった。"
"I have no <b>idea</b> what he means.","彼の言いたいことが全く<b>わから</b>ない。"
"Her <b>idea</b> of fun is hiking.","彼女の<b>楽しみの考え</b>はハイキングだ。"
"We exchanged <b>ideas</b> during the workshop.","ワークショップで<b>意見</b>を交換した。"

"Both sides reached an <b>accord</b> last night.","昨夜両者は<b>合意</b>に達した。"
"His views are in <b>accord</b> with the data.","彼の見解はデータと<b>一致</b>している。"
"They signed an <b>accord</b> to reduce emissions.","彼らは排出削減の<b>協定</b>に署名した。"
"The two reports are not in <b>accord</b>.","その2つの報告は<b>一致</b>していない。"

"She works for a big <b>company</b> in Tokyo.","彼女は東京の大<b>会社</b>で働いている。"
"A <b>company</b> of friends gathered for dinner.","友人<b>仲間</b>が夕食のために集まった。"
"I enjoy your <b>company</b> on long trips.","長旅ではあなたと<b>一緒にいること</b>が楽しい。"
"A theater <b>company</b> will perform next week.","劇<b>一座</b>が来週公演する。"

"This book sparked my <b>interest</b> in history.","この本で歴史への<b>興味</b>がわいた。"
"The bank pays <b>interest</b> on savings.","その銀行は預金に<b>利子</b>を払う。"
"Our <b>interests</b> align on this project.","このプロジェクトでは私たちの<b>利害</b>は一致している。"
"He lost <b>interest</b> after a few weeks.","彼は数週間で<b>興味</b>を失った。"

"Her <b>research</b> into AI won an award.","彼女のAIに関する<b>研究</b>は賞を受けた。"
"We did market <b>research</b> before launching.","発売前に市場<b>調査</b>を行った。"
"He is conducting <b>research</b> on cancer.","彼はがんに関する<b>研究</b>を行っている。"
"Funding supports <b>research</b> in biology.","資金は生物学の<b>研究</b>を支援する。"

"Lack of sleep can <b>cause</b> headaches.","睡眠不足は頭痛の<b>原因</b>になり得る。"
"What is the <b>cause</b> of the delay?","遅れの<b>原因</b>は何ですか。"
"He fights for the <b>cause</b> of justice.","彼は正義という<b>大義</b>のために戦っている。"
"Small errors <b>cause</b> big problems sometimes.","小さな誤りが大きな問題を<b>引き起こ</b>すことがある。"

"There is no <b>reason</b> to panic.","慌てる<b>理由</b>はない。"
"She gave me a good <b>reason</b> to stay.","彼女は私に残るべき良い<b>理由</b>を示した。"
"Use your <b>reason</b> when making choices.","選択するときは<b>理性</b>を使いなさい。"
"I have <b>reason</b> to believe he's honest.","彼が正直だと<b>根拠</b>がある。"

"Exercise has a positive <b>effect</b> on mood.","運動は気分に良い<b>影響</b>を与える。"
"The law took <b>effect</b> last month.","その法律は先月<b>施行</b>された。"
"We measured the <b>effect</b> of the new drug.","新薬の<b>効果</b>を測定した。"
"Her speech had a lasting <b>effect</b> on us.","彼女のスピーチは私たちに持続する<b>影響</b>を与えた。"

"Parents greatly <b>influence</b> their children.","親は子どもに大きな<b>影響</b>を与える。"
"Social media <b>influences</b> buying behavior.","SNSは購買行動に<b>影響</b>する。"
"He has <b>influence</b> in the local community.","彼は地域社会で<b>影響力</b>がある。"
"Her mentor <b>influenced</b> her career choice.","彼女の師は彼女の進路選択に<b>影響</b>を与えた。"

"The <b>situation</b> is under control now.","今は<b>状況</b>は管理下にある。"
"In this <b>situation</b>, stay calm.","この<b>状況</b>では落ち着いて。"
"He is in a difficult <b>situation</b> at work.","彼は仕事で難しい<b>立場</b>にいる。"
"We assessed the <b>situation</b> before acting.","行動する前に<b>状況</b>を評価した。"

"Protect the <b>environment</b> for future generations.","将来の世代のため<b>環境</b>を守ろう。"
"The lab studies marine <b>environment</b>.","その研究室は海洋<b>環境</b>を研究している。"
"A supportive <b>environment</b> helps learning.","支援的な<b>環境</b>は学習を助ける。"
"We must adapt to a changing <b>environment</b>.","変化する<b>環境</b>に適応しなければならない。"

"Practice daily to build your <b>skill</b>.","毎日練習して<b>技能</b>を身につけよう。"
"Her writing <b>skills</b> are impressive.","彼女の文章<b>技能</b>は印象的だ。"
"He showed <b>skill</b> in negotiating.","彼は交渉で<b>熟練</b>を示した。"
"This job requires coding <b>skills</b>.","この仕事はコーディング<b>技能</b>が必要だ。"

"It's a serious <b>matter</b> to discuss.","それは話し合うべき重大な<b>事柄</b>だ。"
"Money doesn't <b>matter</b> to me.","お金は私には<b>問題</b>ではない。"
"What <b>matters</b> is honesty.","<b>重要</b>なのは正直さだ。"
"The <b>matter</b> settled after a week.","その<b>問題</b>は1週間後に収まった。"

"What's your <b>view</b> on remote work?","リモートワークについての<b>見解</b>は？"
"We enjoyed a beautiful <b>view</b> of the mountains.","山の美しい<b>眺め</b>を楽しんだ。"
"She has a narrow <b>view</b> of the issue.","彼女はその問題に対して偏った<b>見方</b>だ。"
"From this point you can <b>view</b> the city.","ここから街を<b>見渡</b>せる。"

"We admire the <b>value</b> of hard work.","私たちは努力の<b>価値</b>を尊ぶ。"
"The <b>value</b> of the house has risen.","その家の<b>価格</b>は上がった。"
"He <b>values</b> honest feedback.","彼は率直な意見を<b>評価</b>する。"
"Please enter the numeric <b>value</b>.","数値<b>値</b>を入力してください。"

"This <b>species</b> lives only on the island.","この<b>種</b>は島にしか生息しない。"
"Several <b>species</b> are endangered.","いくつかの<b>種</b>が絶滅の危機にある。"
"We discovered a new <b>species</b> of insect.","新しい昆虫の<b>種</b>を発見した。"
"The <b>species</b> varies in color.","その<b>種</b>は色が異なる。"

"His <b>thought</b> changed after the meeting.","会議の後で彼の<b>考え</b>は変わった。"
"Deep <b>thought</b> is needed to solve this.","これを解くには深い<b>思考</b>が必要だ。"
"A kind <b>thought</b> crossed my mind.","親切な<b>考え</b>がふと頭をよぎった。"
"She put her <b>thoughts</b> into words.","彼女は自分の<b>考え</b>を言葉にした。"

"He has broad <b>knowledge</b> of economics.","彼は経済学の幅広い<b>知識</b>がある。"
"To our <b>knowledge</b>, the data is correct.","私たちの<b>知る限り</b>そのデータは正しい。"
"She gained <b>knowledge</b> through experience.","彼女は経験によって<b>知識</b>を得た。"
"Basic <b>knowledge</b> is required for the course.","その講座には基礎<b>知識</b>が必要だ。"

"My <b>memory</b> of that day is vivid.","その日の<b>記憶</b>は鮮明だ。"
"She has a good <b>memory</b> for names.","彼女は名前の<b>記憶力</b>が良い。"
"This song brings back old <b>memories</b>.","この歌は昔の<b>思い出</b>をよみがえらせる。"
"I can't <b>remember</b> where I put the keys.","鍵をどこに置いたか<b>思い出</b>せない。"

"Daily <b>practice</b> improves your skills.","毎日の<b>練習</b>が技能を伸ばす。"
"He <b>practices</b> the piano every evening.","彼は毎晩ピアノを<b>練習</b>する。"
"This is common <b>practice</b> in the industry.","これは業界の一般的な<b>慣習</b>だ。"
"You need more <b>practice</b> to master it.","習得にはもっと<b>練習</b>が必要だ。"

"What are the <b>benefits</b> of exercise?","運動の<b>恩恵</b>は何ですか。"
"This plan will <b>benefit</b> local communities.","この計画は地域社会に<b>利益</b>をもたらす。"
"We apply for <b>benefits</b> after employment.","雇用後に<b>給付金</b>を申請する。"
"She <b>benefited</b> from the scholarship.","彼女は奨学金の<b>恩恵</b>を受けた。"

"The <b>theory</b> explains the results.","その<b>学説</b>は結果を説明する。"
"He proposed a new <b>theory</b> of memory.","彼は<b>理論</b>記憶の新説を提案した。"
"In <b>theory</b>, it should work.","<b>理論上</b>はうまくいくはずだ。"
"We tested the <b>theory</b> with an experiment.","その<b>理論</b>を実験で検証した。"

"The main <b>issue</b> is cost.","主な<b>問題</b>は費用だ。"
"This week's <b>issue</b> includes a special feature.","今週の<b>号</b>には特集が含まれる。"
"They <b>issued</b> a statement to the press.","彼らは報道向けに声明を<b>発表</b>した。"
"Housing is a key <b>issue</b> in the city.","住宅は都市の重要な<b>問題</b>だ。"

"We designed an <b>experiment</b> to test memory.","記憶を検証する<b>実験</b>を設計した。"
"The drug worked well in animal <b>experiments</b>.","その薬は動物<b>実験</b>でうまく働いた。"
"They <b>experimented</b> with a new method.","彼らは新しい方法を<b>試験</b>した。"
"Ethics are vital in human <b>experiments</b>.","人間<b>実験</b>では倫理が極めて重要だ。"

"I read an <b>article</b> about sleep research.","睡眠研究に関する<b>記事</b>を読んだ。"
"The contract has strict <b>articles</b>.","その契約には厳しい<b>条項</b>がある。"
"This <b>article</b> was published yesterday.","この<b>記事</b>は昨日掲載された。"
"She writes <b>articles</b> for science magazines.","彼女は科学雑誌に<b>記事</b>を書く。"

"Let's keep our <b>focus</b> on the goal.","目標に<b>焦点</b>を当て続けよう。"
"The camera <b>focused</b> on her face.","カメラは彼女の顔に<b>焦点</b>を合わせた。"
"He <b>focused</b> his efforts on math.","彼は努力を数学に<b>集中</b>させた。"
"The <b>focus</b> of this talk is AI ethics.","この講演の<b>焦点</b>はAI倫理だ。"

"The <b>subject</b> today is climate policy.","今日の<b>話題</b>は気候政策だ。"
"Physics was my favorite <b>subject</b> at school.","学校では物理が好きな<b>科目</b>だった。"
"The city is <b>subject</b> to heavy rain.","その都市は大雨の<b>影響を受けやすい</b>。"
"We need <b>subjects</b> for the study.","研究の<b>被験者</b>が必要だ。"

"Our <b>project</b> will launch in January.","私たちの<b>計画</b>は1月に開始する。"
"She joined a research <b>project</b>.","彼女は研究<b>計画</b>に参加した。"
"We <b>project</b> demand for the next year.","来年の需要を<b>予測</b>する。"
"The device <b>projects</b> images on the wall.","その装置は壁に画像を<b>投影</b>する。"

"We care about the <b>quality</b> of service.","サービスの<b>質</b>を重視している。"
"The <b>quality</b> of air has improved.","空気の<b>質</b>が改善した。"
"This product is <b>quality</b> tested.","この製品は<b>品質</b>テスト済みだ。"
"The photo lacks <b>quality</b> details.","その写真は<b>質</b>の細部が不足している。"

"Parents play a vital <b>role</b> in education.","親は教育で重要な<b>役割</b>を果たす。"
"She got her first acting <b>role</b>.","彼女は初めての<b>役</b>を得た。"
"Trust <b>roles</b> are defined clearly.","信頼に関する<b>役割</b>は明確に定義されている。"
"Each member has a specific <b>role</b>.","各メンバーには特定の<b>役割</b>がある。"

"The medical <b>term</b> is unfamiliar to me.","その医学<b>用語</b>は私には馴染みがない。"
"We agreed on the payment <b>terms</b>.","支払いの<b>条件</b>に合意した。"
"She finished the course this <b>term</b>.","彼女は今学<b>期</b>にその講座を終えた。"
"We are on good <b>terms</b> with our neighbors.","近所の人たちと<b>間柄</b>が良好だ。"

"The official <b>statement</b> is clear.","公式<b>声明</b>は明確だ。"
"He made a bold <b>statement</b>.","彼は大胆な<b>主張</b>をした。"
"Please check the bank <b>statement</b>.","銀行<b>明細書</b>を確認してください。"
"Her <b>statement</b> surprised everyone.","彼女の<b>発言</b>は皆を驚かせた。"

"We ordered raw <b>material</b> for the product.","製品の原<b>材料</b>を注文した。"
"The report includes useful <b>materials</b>.","報告書には有用な<b>資料</b>が含まれる。"
"This <b>material</b> is soft and warm.","この<b>生地</b>は柔らかくて暖かい。"
"The course provides study <b>materials</b>.","その講座は学習<b>資料</b>を提供する。"

"We found clear <b>evidence</b> of fraud.","不正の明確な<b>証拠</b>を見つけた。"
"Please submit all <b>evidence</b> to the court.","すべての<b>証拠</b>を裁判所に提出してください。"
"There is no <b>evidence</b> against him.","彼に不利な<b>証拠</b>はない。"
"DNA <b>evidence</b> proved the case.","DNA<b>証拠</b>が事件を立証した。"

"Trust the original <b>source</b> of the data.","データの元<b>情報源</b>を信頼しよう。"
"We traced the <b>source</b> of the noise.","騒音の<b>原因</b>を追跡した。"
"The river is the <b>source</b> of water here.","この地域ではその川が<b>源</b>だ。"
"Please cite your <b>sources</b>.","<b>出所</b>を明記してください。"

"The local <b>community</b> organized the event.","地域<b>社会</b>がそのイベントを企画した。"
"She supports the art <b>community</b>.","彼女は芸術<b>界</b>を支援している。"
"We need input from the <b>community</b>.","地域<b>住民</b>からの意見が必要だ。"
"He is respected in the research <b>community</b>.","彼は研究<b>界</b>で尊敬されている。"

"Modern <b>technology</b> changes our lives.","現代の<b>科学技術</b>は生活を変える。"
"We use advanced <b>technology</b> in the lab.","研究室では高度な<b>応用技術</b>を使う。"
"Digital <b>technology</b> enables remote work.","デジタル<b>技術</b>がリモートワークを可能にする。"
"This <b>technology</b> is widely available.","この<b>技術</b>は広く利用可能だ。"

"Japanese <b>culture</b> values harmony.","日本の<b>文化</b>は調和を重んじる。"
"He has high <b>culture</b>.","彼は高い<b>教養</b>がある。"
"We study cell <b>culture</b> in biology.","生物学では細胞<b>培養</b>を研究する。"
"Pearl <b>culture</b> is common in this area.","この地域では真珠の<b>養殖</b>が一般的だ。"

"This is an <b>appropriate</b> response.","これは<b>適切</b>な対応だ。"
"Choose an <b>appropriate</b> tool for the job.","仕事に<b>適切</b>な道具を選ぼう。"
"It wasn't <b>appropriate</b> to joke then.","その時に冗談は<b>適切</b>ではなかった。"
"Is this dress <b>appropriate</b> for the event?","そのイベントにこのドレスは<b>適切</b>ですか。"

"Rain is <b>likely</b> this evening.","今晩は雨の<b>可能性</b>が高い。"
"She is <b>likely</b> to win the prize.","彼女は賞を取る<b>可能性</b>が高い。"
"A <b>likely</b> explanation is human error.","<b>ありそうな</b>説明は人為的ミスだ。"
"It seems <b>likely</b> that they forgot.","彼らが忘れた<b>可能性</b>が高そうだ。"

"Is it <b>possible</b> to finish today?","今日終えることは<b>可能</b>ですか。"
"A <b>possible</b> cause is network failure.","<b>可能性のある</b>原因はネットワーク障害だ。"
"When <b>possible</b>, avoid late-night work.","<b>可能</b>なら深夜労働は避けよう。"
"Anything is <b>possible</b> with effort.","努力次第で何でも<b>可能</b>だ。"

"Each <b>individual</b> learns differently.","各<b>個人</b>は違う学び方をする。"
"We respect <b>individual</b> rights.","私たちは<b>個人</b>の権利を尊重する。"
"This is an <b>individual</b> decision.","これは<b>個別</b>の判断だ。"
"The <b>individual</b> parts were inspected.","<b>個々の</b>部品が検査された。"

"It's a <b>public</b> library.","そこは<b>公</b>立図書館だ。"
